ticket,symbol,direction,entry_price,exit_price,size,pnl,open_time,close_time,reason
4,BTCUSDT,BULLISH,5322.62,5581.44,0.30357305485565117,78.57077805773955,2020-03-19 02:00:00,2020-03-19 09:30:00,Take Profit
3,BTCUSDT,BULLISH,5328.5,5713.0,0.25493945188017847,98.02421924792863,2020-03-19 02:00:00,2020-03-19 12:00:00,Take Profit
1,BTCUSDT,BULLISH,5341.38,6148.920000000001,0.16562598340427634,133.74960663828946,2020-03-19 00:30:00,2020-03-19 16:00:00,Take Profit
2,BTCUSDT,BULLISH,5357.32,6019.439999999999,0.18830264000301303,124.6789439987948,2020-03-19 01:30:00,2020-03-19 16:00:00,Take Profit
5,BTCUSDT,BULLISH,5842.76,6408.5,0.21610420088103954,122.25879060643926,2020-03-22 23:00:00,2020-03-23 13:00:00,Take Profit
8,BTCUSDT,BULLISH,6197.19,6628.829999999999,0.2538906819909865,109.58937397458928,2020-04-01 13:30:00,2020-04-01 23:30:00,Take Profit
6,BTCUSDT,BULLISH,6321.04,7285.3,0.15476935977818293,149.23790285971072,2020-03-23 20:00:00,2020-04-02 17:00:00,Take Profit
7,BTCUSDT,BULLISH,6230.95,6940.309999999999,0.19033104381894436,135.01322924340613,2020-03-30 07:30:00,2020-04-02 17:00:00,Take Profit
13,BTCUSDT,BULLISH,6822.48,6885.98,0.4725403600702007,30.006312864457747,2020-04-21 14:30:00,2020-04-21 17:30:00,Take Profit
14,BTCUSDT,BULLISH,6828.9,6905.24,0.4610626509422411,35.19752277293075,2020-04-21 23:30:00,2020-04-22 05:30:00,Take Profit
16,BTCUSDT,BULLISH,6822.48,6885.98,0.4738351308518386,30.08853080909175,2020-04-22 00:30:00,2020-04-22 05:30:00,Take Profit
15,BTCUSDT,BULLISH,6847.26,6911.5,0.4730798361834984,30.390648676427833,2020-04-21 23:30:00,2020-04-22 06:00:00,Take Profit
18,BTCUSDT,BULLISH,6862.0,6930.0599999999995,0.4692188675593459,31.935036126088843,2020-04-22 05:00:00,2020-04-22 06:30:00,Take Profit
17,BTCUSDT,BULLISH,6862.32,7005.5,0.40432744789908887,57.89160399019166,2020-04-22 04:00:00,2020-04-22 13:00:00,Take Profit
19,BTCUSDT,BULLISH,7089.94,7196.479999999999,0.4408983495821105,46.97331016447764,2020-04-23 11:00:00,2020-04-23 13:30:00,Take Profit
9,BTCUSDT,BULLISH,6641.51,7531.630000000001,0.1653624734524506,147.19244486949546,2020-04-02 08:00:00,2020-04-23 14:00:00,Take Profit
11,BTCUSDT,BULLISH,6864.11,7358.549999999998,0.24487104433225074,121.07403915963773,2020-04-20 17:30:00,2020-04-23 14:00:00,Take Profit
12,BTCUSDT,BULLISH,6907.6,7467.980000000001,0.22805811959072222,127.79920905624915,2020-04-21 01:00:00,2020-04-23 14:00:00,Take Profit
21,BTCUSDT,BULLISH,7494.51,7525.110000000001,0.5392323039069179,16.500508499551884,2020-04-25 04:00:00,2020-04-25 05:00:00,Take Profit
23,BTCUSDT,BULLISH,7519.13,7583.430000000001,0.500804308060111,32.20171700826568,2020-04-25 08:00:00,2020-04-25 11:00:00,Take Profit
24,BTCUSDT,BULLISH,7519.13,7583.430000000001,0.5021914162663684,32.290908065928036,2020-04-25 11:30:00,2020-04-25 13:30:00,Take Profit
22,BTCUSDT,BULLISH,7519.13,7614.97,0.4689485322529647,44.944027331124204,2020-04-25 08:00:00,2020-04-25 15:30:00,Take Profit
25,BTCUSDT,BULLISH,7519.13,7583.430000000001,0.5035823664307417,32.38034616149724,2020-04-25 15:30:00,2020-04-25 15:30:00,Take Profit
28,BTCUSDT,BULLISH,7539.88,7557.099999999999,0.5641143286602913,9.714048739529847,2020-04-26 00:00:00,2020-04-26 00:30:00,Take Profit
30,BTCUSDT,BULLISH,7538.0,7574.66,0.539000092070825,19.759743375316365,2020-04-26 00:00:00,2020-04-26 01:00:00,Take Profit
31,BTCUSDT,BULLISH,7539.88,7557.099999999999,0.5655271943961068,9.738378287500588,2020-04-26 04:00:00,2020-04-26 04:00:00,Take Profit
33,BTCUSDT,BULLISH,7539.88,7557.099999999999,0.5659940166140014,9.746416966092733,2020-04-26 04:30:00,2020-04-26 09:00:00,Take Profit
27,BTCUSDT,BULLISH,7519.13,7583.430000000001,0.5069131600336977,32.59451619016731,2020-04-25 18:00:00,2020-04-26 09:30:00,Take Profit
29,BTCUSDT,BULLISH,7543.0,7589.0,0.5277125116673685,24.274775536698954,2020-04-26 00:00:00,2020-04-26 09:30:00,Take Profit
32,BTCUSDT,BULLISH,7538.0,7574.66,0.5403500573579979,19.809233102744123,2020-04-26 04:00:00,2020-04-26 09:30:00,Take Profit
26,BTCUSDT,BULLISH,7519.13,7614.97,0.4746688048637591,45.49225825814274,2020-04-25 18:00:00,2020-04-26 10:30:00,Take Profit
34,BTCUSDT,BULLISH,7563.44,7622.299999999998,0.5146319653308067,30.291237479370643,2020-04-26 09:00:00,2020-04-26 10:30:00,Take Profit
36,BTCUSDT,BULLISH,7539.88,7557.099999999999,0.5737696955140165,9.880314156750988,2020-04-26 15:00:00,2020-04-26 15:00:00,Take Profit
37,BTCUSDT,BULLISH,7563.44,7622.299999999998,0.5217020275516677,30.707381341690517,2020-04-26 15:00:00,2020-04-26 15:00:00,Take Profit
38,BTCUSDT,BULLISH,7543.0,7589.0,0.5367448259245686,24.690261992530157,2020-04-26 15:00:00,2020-04-26 15:00:00,Take Profit
39,BTCUSDT,BULLISH,7546.0,7581.0599999999995,0.550241788172569,19.291477093329988,2020-04-26 15:00:00,2020-04-26 15:00:00,Take Profit
40,BTCUSDT,BULLISH,7538.0,7574.66,0.5482256042741668,20.097950652690873,2020-04-26 15:00:00,2020-04-26 15:00:00,Take Profit
41,BTCUSDT,BULLISH,7546.0,7581.0599999999995,0.550241788172569,19.291477093329988,2020-04-26 15:00:00,2020-04-26 15:00:00,Take Profit
42,BTCUSDT,BULLISH,7539.88,7557.099999999999,0.5797118297516044,9.982637708322248,2020-04-26 15:30:00,2020-04-26 15:30:00,Take Profit
45,BTCUSDT,BULLISH,7538.0,7574.66,0.5539031960998582,20.30609116902072,2020-04-26 15:30:00,2020-04-26 16:00:00,Take Profit
44,BTCUSDT,BULLISH,7546.0,7581.0599999999995,0.555940260214601,19.491265523123626,2020-04-26 15:30:00,2020-04-26 16:30:00,Take Profit
46,BTCUSDT,BULLISH,7546.0,7581.0599999999995,0.555940260214601,19.491265523123626,2020-04-26 15:30:00,2020-04-26 16:30:00,Take Profit
43,BTCUSDT,BULLISH,7543.0,7589.0,0.5423035193026099,24.945961887920056,2020-04-26 15:30:00,2020-04-26 17:30:00,Take Profit
47,BTCUSDT,BULLISH,7563.44,7622.299999999998,0.5275400391473023,31.05100670420956,2020-04-26 16:00:00,2020-04-26 18:30:00,Take Profit
48,BTCUSDT,BULLISH,7577.36,7658.719999999998,0.5028814657701742,40.914436055060754,2020-04-26 16:00:00,2020-04-26 23:00:00,Take Profit
50,BTCUSDT,BULLISH,7643.91,7708.73,0.5257362724910257,34.07822518286813,2020-04-26 23:00:00,2020-04-27 00:00:00,Take Profit
51,BTCUSDT,BULLISH,7643.91,7708.73,0.5289630123575516,34.28738246101634,2020-04-27 06:30:00,2020-04-27 08:00:00,Take Profit
52,BTCUSDT,BULLISH,7643.91,7708.73,0.5304383095676981,34.383011226178034,2020-04-27 13:00:00,2020-04-27 18:30:00,Take Profit
53,BTCUSDT,BULLISH,7677.0,7710.5,0.5703483166730815,19.10666860854823,2020-04-27 20:00:00,2020-04-27 21:00:00,Take Profit
57,BTCUSDT,BULLISH,7677.0,7710.5,0.5712298238753214,19.136199099823266,2020-04-28 01:30:00,2020-04-28 01:30:00,Take Profit
58,BTCUSDT,BULLISH,7677.0,7710.5,0.572112693499304,19.165775232226686,2020-04-28 02:00:00,2020-04-28 03:30:00,Take Profit
59,BTCUSDT,BULLISH,7677.0,7710.5,0.5729969276507332,19.19539707629956,2020-04-28 04:00:00,2020-04-28 04:00:00,Take Profit
60,BTCUSDT,BULLISH,7677.0,7710.5,0.573882528438567,19.225064702691995,2020-04-28 04:30:00,2020-04-28 06:00:00,Take Profit
62,BTCUSDT,BULLISH,7677.0,7710.5,0.5747694979750234,19.254778182163285,2020-04-28 08:00:00,2020-04-28 09:00:00,Take Profit
61,BTCUSDT,BULLISH,7702.53,7758.509999999999,0.546433127269119,30.58932646452504,2020-04-28 06:30:00,2020-04-28 12:30:00,Take Profit
63,BTCUSDT,BULLISH,7677.0,7710.5,0.5770691106461509,19.331815206646052,2020-04-28 14:30:00,2020-04-28 14:30:00,Take Profit
64,BTCUSDT,BULLISH,7702.53,7758.509999999999,0.5494672919190307,30.759179001627096,2020-04-28 15:30:00,2020-04-28 23:00:00,Take Profit
66,BTCUSDT,BULLISH,7722.55,7740.45,0.6010080865022065,10.758044748389278,2020-04-28 23:30:00,2020-04-28 23:30:00,Take Profit
68,BTCUSDT,BULLISH,7722.55,7740.45,0.6015229486581475,10.767260780980621,2020-04-29 00:30:00,2020-04-29 00:30:00,Take Profit
49,BTCUSDT,BULLISH,7648.13,7856.750000000001,0.40151939499076283,83.76497618297326,2020-04-26 23:00:00,2020-04-29 02:00:00,Take Profit
54,BTCUSDT,BULLISH,7717.16,7803.98,0.5078796994326055,44.09411550473866,2020-04-27 21:00:00,2020-04-29 02:00:00,Take Profit
